Segment,Novelty,Representativeness,Main_Topics
1,0.0,0.352,"['決める', '大丈夫', '町内', '実現', 'むずいね']"
2,0.798,0.475,"['校長', 'する', '次第', '入れる', '先生']"
3,0.644,0.477,"['pta', '会長', '実現', '校長', '先生']"
4,0.767,0.473,"['第一歩', '提案', '学校', 'いう', 'たち']"
5,0.771,0.486,"['高校', 'そう', '学校', 'メリット', '変える']"
6,0.816,0.441,"['くれる', '委員', '教育', '学校', '接点']"
7,0.664,0.459,"['思考', '委員', '現実', '上昇', '教育']"
8,0.781,0.398,"['始める', 'する', '調べる', 'いい', '聞く']"
9,0.812,0.441,"['会議', '生徒', 'なん', 'みたい', 'やつ']"
10,0.827,0.418,"['正当', '伝える', 'メモ', 'デメリット', '魅力']"
11,0.868,0.31,"['ふる', 'メリット', '強める', '探す', 'まとめる']"
12,0.853,0.467,"['増える', '上がる', 'ブランド', '偏差', '生徒']"
13,0.853,0.38,"['大丈夫', 'いい', '雰囲気', 'まとめる', '地域']"
14,0.749,0.397,"['地域', '活性', '結ぶ', '全員', 'いい']"
15,0.759,0.473,"['江東', 'もらう', '作る', 'いう', '委員']"
16,0.761,0.464,"['母校', 'やる', 'いい', 'メリット', 'みる']"
17,0.841,0.461,"['会長', '生徒', '話し合い', 'pta', '校長']"
18,0.94,0.327,"['任意', '参加', '会議', 'あり', '子供']"
19,0.914,0.424,"['だめ', '20', '生徒', 'する', '10']"
20,0.854,0.411,"['わかる', 'そこ', 'あと', '見学', '待つ']"
